time,party,strategy,votes,x,y
92,P2,hunter,282,0.756831053592115,0.46032497191715527
93,P2,hunter,288,0.7474235406532419,0.45693399856058997
94,P2,hunter,292,0.7380160277143688,0.4535430252040247
95,P2,hunter,298,0.7286085147754957,0.4501520518474594
96,P2,hunter,298,0.7192010018366226,0.4467610784908941
97,P2,hunter,299,0.7097934888977495,0.4433701051343288
98,P2,hunter,308,0.7003859759588764,0.4399791317777635
99,P2,hunter,315,0.6909784630200033,0.4365881584211982
100,P2,hunter,315,0.6815709500811302,0.4331971850646329
101,P2,hunter,316,0.6721634371422571,0.4298062117080676
102,P2,hunter,317,0.662755924203384,0.4264152383515023
103,P2,hunter,316,0.6600748959558832,0.43604914137863016
104,P2,hunter,318,0.6573938677083824,0.445683044405758
105,P2,hunter,321,0.6547128394608815,0.45531694743288587
106,P2,hunter,320,0.6645858697552892,0.45690542872195056
107,P2,hunter,314,0.6561554324351699,0.46228387892545164
108,P2,hunter,312,0.6617597674399396,0.454001884651467
109,P2,hunter,311,0.6677964233081431,0.46197426108066825
110,P2,hunter,316,0.6738330791763467,0.4699466375098695
111,P2,hunter,309,0.6642332985170177,0.46714588559426296
112,P2,hunter,307,0.6733180778842235,0.46296655743662884
113,P2,hunter,310,0.6824028572514292,0.45878722927899473
114,P2,hunter,307,0.6728569047182037,0.4558081706636926
115,P2,hunter,311,0.6633109521849782,0.4528291120483905
116,P2,hunter,313,0.6537649996517526,0.44985005343308837
117,P2,hunter,314,0.6442190471185271,0.44687099481778625
118,P2,hunter,317,0.6346730945853015,0.4438919362024841
119,P2,hunter,319,0.625127142052076,0.440912877587182
120,P2,hunter,321,0.6155811895188504,0.4379338189718799
121,P2,hunter,320,0.625276476129172,0.44038359805247435
122,P2,hunter,321,0.6349717627394936,0.4428333771330688
123,P2,hunter,318,0.6295835683209294,0.45125758990980663
124,P2,hunter,320,0.6241953739023652,0.45968180268654446
125,P2,hunter,319,0.616773025555644,0.45298040395046524
126,P2,hunter,319,0.6093506772089227,0.446279005214386
127,P2,hunter,324,0.6019283288622014,0.4395776064783068
128,P2,hunter,327,0.5945059805154801,0.43287620774222757
129,P2,hunter,320,0.6009528129763115,0.4405207058436055
130,P2,hunter,328,0.6073996454371429,0.4481652039449834
131,P2,hunter,331,0.6138464778979742,0.4558097020463613
132,P2,hunter,328,0.6092123828905459,0.44694825953048795
133,P2,hunter,324,0.6192080402585106,0.44665358380659176
134,P2,hunter,326,0.6292036976264753,0.44635890808269557
135,P2,hunter,320,0.62010824120734,0.45051494856945823
136,P2,hunter,321,0.6110127847882046,0.4546709890562209
137,P2,hunter,323,0.6019173283690693,0.45882702954298354
138,P2,hunter,328,0.592821871949934,0.4629830700297462
139,P2,hunter,323,0.5978543640699662,0.45434165677369753
140,P2,hunter,318,0.5998664367948765,0.4641371436605078
141,P2,hunter,321,0.6018785095197867,0.47393263054731805
142,P2,hunter,315,0.5999529220515727,0.46411977607462473
143,P2,hunter,314,0.6038090864052614,0.4733463678872791
144,P2,hunter,314,0.6076652507589502,0.4825729596999334
145,P2,hunter,311,0.6142306487256335,0.47503004583730246
146,P2,hunter,311,0.6207960466923168,0.4674871319746715
147,P2,hunter,311,0.6273614446590001,0.45994421811204056
148,P2,hunter,309,0.6182891358243083,0.46415054815234563
149,P2,hunter,312,0.6092168269896165,0.4683568781926507
150,P2,hunter,314,0.6001445181549248,0.4725632082329558
151,P2,hunter,313,0.6023125818855957,0.4628010619699791
152,P2,hunter,313,0.6044806456162666,0.45303891570700244
153,P2,hunter,316,0.6066487093469375,0.4432767694440258
154,P2,hunter,324,0.6088167730776084,0.4335146231810491
155,P2,hunter,324,0.6109848368082793,0.42375247691807244
156,P2,hunter,321,0.6010023004708317,0.4243432122831379
157,P2,hunter,317,0.6029124869039096,0.41452734819530107
158,P2,hunter,318,0.6048226733369876,0.4047114841074642
159,P2,hunter,320,0.6067328597700655,0.39489562001962736
160,P2,hunter,321,0.6086430462031435,0.3850797559317905
161,P2,hunter,318,0.5991690766471215,0.3882803653818124
162,P2,hunter,321,0.5896951070910995,0.39148097483183425
163,P2,hunter,323,0.5802211375350775,0.3946815842818561
164,P2,hunter,324,0.5707471679790556,0.397882193731878
165,P2,hunter,328,0.5612731984230336,0.40108280318189987
166,P2,hunter,325,0.5632192416991272,0.3912739849264947
167,P2,hunter,327,0.5651652849752208,0.3814651666710895
168,P2,hunter,326,0.563469736027136,0.39132037411510856
169,P2,hunter,328,0.5617741870790512,0.40117558155912764
170,P2,hunter,327,0.5557113586062067,0.3932230906972112
171,P2,hunter,326,0.5656675506349886,0.3941580988715165
172,P2,hunter,329,0.5756237426637706,0.3950931070458218
173,P2,hunter,326,0.5753585745590513,0.3850966233702367
174,P2,hunter,330,0.5750934064543319,0.3751001396946516
175,P2,hunter,327,0.5802201313803397,0.3836859822003729
176,P2,hunter,331,0.5853468563063474,0.39227182470609423
177,P2,hunter,327,0.591619775274391,0.38448398241054416
178,P2,hunter,323,0.583668234972314,0.37841990731004904
179,P2,hunter,329,0.575716694670237,0.3723558322095539
180,P2,hunter,325,0.5819822651317481,0.3645620765813706
181,P2,hunter,325,0.5882478355932592,0.3567683209531872
182,P2,hunter,324,0.5782842297397922,0.35762070490233155
183,P2,hunter,327,0.5683206238863252,0.3584730888514759
184,P2,hunter,330,0.5583570180328582,0.3593254728006202
185,P2,hunter,328,0.5633509155161056,0.35066169833871186
186,P2,hunter,331,0.568344812999353,0.3419979238768035
187,P2,hunter,332,0.5733387104826004,0.33333414941489514
188,P2,hunter,332,0.5783326079658478,0.3246703749529868
189,P2,hunter,327,0.5813172535774844,0.33421458212660465
190,P2,hunter,331,0.584301899189121,0.3437587893002225
191,P2,hunter,332,0.5872865448007576,0.3533029964738404
192,P2,hunter,334,0.5902711904123942,0.36284720364745826
193,P2,hunter,331,0.5820932577495418,0.3570920826789771
194,P2,hunter,330,0.5818804179060751,0.36708981738245033
195,P2,hunter,331,0.5816675780626085,0.3770875520859236
196,P2,hunter,329,0.5903428156573856,0.37211359463996907
197,P2,hunter,328,0.5872368825458536,0.3816190235890849
198,P2,hunter,330,0.5841309494343216,0.3911244525382007
199,P2,hunter,329,0.5746723270818276,0.3878787687592569
0,P3,aggregator,306,0.2843053547672067,0.69078237838792
1,P3,aggregator,308,0.28243381856368166,0.6809590718041421
2,P3,aggregator,312,0.28069205655691826,0.6711119267807459
3,P3,aggregator,309,0.27898201653126153,0.6612592234405122
4,P3,aggregator,303,0.2771844660188856,0.6514221094249355
5,P3,aggregator,302,0.2753775381384751,0.6415867135694046
6,P3,aggregator,299,0.27361123765049217,0.6317439404547711
7,P3,aggregator,295,0.2718478583804733,0.6219006435705932
8,P3,aggregator,292,0.270162071410977,0.6120437615943556
9,P3,aggregator,295,0.26872432713646566,0.6021476567343054
10,P3,aggregator,294,0.2672576435324034,0.5922557995171002
11,P3,aggregator,292,0.2657520541296222,0.5823697891716558
12,P3,aggregator,293,0.26440524683750455,0.5724608987131888
13,P3,aggregator,293,0.26332087971885776,0.562519865167727
14,P3,aggregator,291,0.26229606218442875,0.5525725163238829
15,P3,aggregator,297,0.2616394581187861,0.5425940960530694
16,P3,aggregator,295,0.2610296012910757,0.5326127096438728
17,P3,aggregator,299,0.26079626156776314,0.5226154323858627
18,P3,aggregator,297,0.260491435476043,0.5126200794129154
19,P3,aggregator,298,0.2607059501419552,0.5026223805047612
20,P3,aggregator,301,0.26116985500489664,0.4926331466863875
21,P3,aggregator,308,0.26205046918193536,0.48267199621712953
22,P3,aggregator,306,0.26295634614084173,0.4727131113932488
23,P3,aggregator,313,0.2642898876547849,0.462802426904749
24,P3,aggregator,309,0.2656041167299855,0.45288916296506204
25,P3,aggregator,322,0.267605647874653,0.443091516662152
26,P3,aggregator,314,0.2694073620483739,0.4332551643892709
27,P3,aggregator,311,0.27110701736060444,0.42340066430963186
28,P3,aggregator,315,0.27311348463684737,0.41360402768937454
29,P3,aggregator,310,0.2750164449537283,0.40378676014527776
30,P3,aggregator,304,0.2768241061073812,0.39395149903264964
31,P3,aggregator,296,0.2784323099144209,0.3840816621284742
32,P3,aggregator,291,0.27990213075860976,0.37419027058400545
33,P3,aggregator,292,0.2818216645716165,0.3643762301346939
34,P3,aggregator,297,0.28422861567214275,0.3546702223869288
35,P3,aggregator,298,0.2867193485754604,0.34498537599659657
36,P3,aggregator,299,0.2895223184417615,0.33538624270610584
37,P3,aggregator,300,0.292573896492344,0.3258632247285315
38,P3,aggregator,296,0.2954664280300164,0.31629069834812545
39,P3,aggregator,301,0.2990940181206193,0.30697186847873953
40,P3,aggregator,301,0.30301189435294873,0.2977713116571038
